year,dairy_exports_eur_m,dairy_imports_eur_m,export_share_animal_origin_pct,import_share_animal_origin_pct,dairy_balance_eur_m
2015,160.094,30.828,21.575283851622245,6.240839561756537,129.266
2016,142.667,38.307,20.38522265326389,6.768870299984626,104.36
2017,249.37699999999998,57.363,25.399695053324926,8.855334921323477,192.01399999999998
2018,223.101,78.74799999999999,21.773747283173584,10.136247498053146,144.353
2019,199.656,132.881,17.504977787363654,13.88614865006082,66.775
2020,150.63600000000002,260.61,14.470247501212775,23.645322878739353,-109.97399999999999
2021,150.57299999999998,314.81100000000004,13.248297913150896,23.377222262239012,-164.23800000000006
2022,240.31399999999996,212.71600000000004,17.030284218388797,19.092925378037517,27.597999999999928
2023,168.246,238.535,13.348884260636714,19.22945148883445,-70.28899999999999
2024,198.03099999999998,261.179,13.086322506206768,19.189804780203225,-63.147999999999996
