retailer,product,date,price_observed_median_uah_kg,price_baseline_median_uah_kg,discount_share,discount_depth_median_pct,n_skus,n_obs
novus,butter,2025-11-04,614.1666666666667,614.1666666666667,0.0,,42,42
novus,butter,2025-11-15,772.2222222222223,772.2222222222223,0.0,,1,1
novus,butter,2025-11-16,633.3333333333334,633.3333333333334,0.0,,2,2
novus,butter,2025-11-24,207.475,207.475,0.0,,1,1
novus,butter,2025-11-28,577.7777777777778,577.7777777777778,0.0,,1,1
novus,butter,2025-12-03,187.475,187.475,0.0,,1,1
novus,butter,2025-12-06,814.1666666666667,814.1666666666667,0.0,,2,2
novus,butter,2025-12-10,661.1111111111111,661.1111111111111,0.0,,1,1
novus,butter,2025-12-11,1445.0,1445.0,0.0,,1,1
novus,butter,2025-12-13,212.475,212.475,0.0,,1,1
novus,butter,2025-12-14,488.8333333333333,488.8333333333333,0.0,,1,1
novus,butter,2025-12-19,770.0,770.0,0.0,,1,1
novus,butter,2025-12-24,212.475,212.475,0.0,,1,1
novus,butter,2025-12-26,389.9499999999999,389.9499999999999,0.0,,3,3
novus,butter,2026-01-06,294.3888888888889,294.3888888888889,0.0,,1,1
novus,butter,2026-01-07,555.5,555.5,0.0,,1,1
novus,butter,2026-01-08,549.9444444444445,549.9444444444445,0.0,,22,22
novus,condensed_milk,2025-11-04,236.50232991612302,236.50232991612302,0.0,,26,26
novus,condensed_milk,2025-11-12,257.8684210526316,257.8684210526316,0.0,,1,1
novus,condensed_milk,2025-11-28,198.8888888888889,198.8888888888889,0.0,,1,1
novus,condensed_milk,2025-12-13,220.6551724137931,220.6551724137931,0.0,,1,1
novus,condensed_milk,2025-12-17,187.98,187.98,0.0,,1,1
novus,condensed_milk,2025-12-26,733.2222222222222,733.2222222222222,0.0,,1,1
novus,condensed_milk,2026-01-07,220.33333333333337,220.33333333333337,0.0,,2,2
novus,condensed_milk,2026-01-08,199.98,199.98,0.0,,7,7
novus,cottage_cheese,2025-11-04,297.46969696969694,297.46969696969694,0.0,,42,42
novus,cottage_cheese,2025-11-05,259.9666666666666,259.9666666666666,0.0,,1,1
novus,cottage_cheese,2025-11-06,259.9666666666666,259.9666666666666,0.0,,1,1
novus,cottage_cheese,2025-11-10,101.98,101.98,0.0,,1,1
novus,cottage_cheese,2025-11-21,239.9714285714286,239.9714285714286,0.0,,1,1
novus,cottage_cheese,2025-11-26,386.9130434782608,386.9130434782608,0.0,,1,1
novus,cottage_cheese,2025-11-29,413.2666666666667,413.2666666666667,0.0,,1,1
novus,cottage_cheese,2025-12-03,277.7627705627706,277.7627705627706,0.0,,2,2
novus,cottage_cheese,2025-12-05,284.9,284.9,0.0,,1,1
novus,cottage_cheese,2025-12-13,248.4545454545454,248.4545454545454,0.0,,1,1
novus,cottage_cheese,2025-12-15,306.6333333333333,306.6333333333333,0.0,,1,1
novus,cottage_cheese,2025-12-19,326.6333333333333,326.6333333333333,0.0,,1,1
novus,cottage_cheese,2025-12-26,339.2142857142857,339.2142857142857,0.0,,3,3
novus,cottage_cheese,2026-01-06,359.0454545454545,359.0454545454545,0.0,,1,1
novus,cottage_cheese,2026-01-07,639.9357142857142,639.9357142857142,0.0,,2,2
novus,cottage_cheese,2026-01-08,281.4,281.4,0.0,,22,22
novus,cream,2025-11-04,231.1875,231.1875,0.0,,47,47
novus,cream,2025-11-18,183.95,183.95,0.0,,1,1
novus,cream,2025-11-20,179.95,179.95,0.0,,1,1
novus,cream,2025-11-28,259.9,259.9,0.0,,1,1
novus,cream,2025-12-01,233.95,233.95,0.0,,1,1
novus,cream,2025-12-03,396.99,396.99,0.0,,2,2
novus,cream,2025-12-11,208.0,208.0,0.0,,1,1
novus,cream,2025-12-12,169.98,169.98,0.0,,1,1
novus,cream,2025-12-19,328.0,328.0,0.0,,1,1
novus,cream,2025-12-26,258.0,258.0,0.0,,1,1
novus,cream,2026-01-08,221.95,221.95,0.0,,14,14
novus,drinking_milk,2025-11-04,86.19540229885057,86.19540229885057,0.0,,50,50
novus,drinking_milk,2025-11-16,93.32222222222221,93.32222222222221,0.0,,1,1
novus,drinking_milk,2025-11-22,258.10450980392153,258.10450980392153,0.0,,2,2
novus,drinking_milk,2025-11-24,74.99,74.99,0.0,,1,1
novus,drinking_milk,2025-12-01,44.43333333333334,44.43333333333334,0.0,,1,1
novus,drinking_milk,2025-12-02,75.54444444444444,75.54444444444444,0.0,,1,1
novus,drinking_milk,2025-12-03,316.6333333333333,316.6333333333333,0.0,,1,1
novus,drinking_milk,2025-12-06,379.9499999999999,379.9499999999999,0.0,,1,1
novus,drinking_milk,2025-12-08,81.1,81.1,0.0,,1,1
novus,drinking_milk,2025-12-12,72.40229885057471,72.40229885057471,0.0,,1,1
novus,drinking_milk,2025-12-18,132.45,132.45,0.0,,1,1
novus,drinking_milk,2025-12-19,77.76666666666667,77.76666666666667,0.0,,1,1
novus,drinking_milk,2025-12-24,63.956315789473685,63.956315789473685,0.0,,2,2
novus,drinking_milk,2025-12-25,74.98,74.98,0.0,,1,1
novus,drinking_milk,2025-12-26,72.09473684210526,72.09473684210526,0.0,,4,4
novus,drinking_milk,2026-01-06,57.095977011494256,57.095977011494256,0.0,,2,2
novus,drinking_milk,2026-01-08,67.80459770114943,67.80459770114943,0.0,,27,27
novus,hard_cheese,2025-11-04,895.0,895.0,0.0,,209,209
novus,hard_cheese,2025-11-05,377.58333333333337,377.58333333333337,0.0,,2,2
novus,hard_cheese,2025-11-06,1690.0,1690.0,0.0,,1,1
novus,hard_cheese,2025-11-10,1290.0,1290.0,0.0,,1,1
novus,hard_cheese,2025-11-11,249.9411764705882,249.9411764705882,0.0,,1,1
novus,hard_cheese,2025-11-12,353.2222222222222,353.2222222222222,0.0,,1,1
novus,hard_cheese,2025-11-15,707.9666666666667,707.9666666666667,0.0,,2,2
novus,hard_cheese,2025-11-16,413.2666666666667,413.2666666666667,0.0,,1,1
novus,hard_cheese,2025-11-18,607.6153846153845,607.6153846153845,0.0,,1,1
novus,hard_cheese,2025-11-20,513.8277777777778,513.8277777777778,0.0,,2,2
novus,hard_cheese,2025-11-21,541.3888888888889,541.3888888888889,0.0,,1,1
novus,hard_cheese,2025-11-26,513.6111111111111,513.6111111111111,0.0,,1,1
novus,hard_cheese,2025-11-28,712.5,712.5,0.0,,3,3
novus,hard_cheese,2025-12-01,541.3888888888889,541.3888888888889,0.0,,3,3
novus,hard_cheese,2025-12-02,472.43947368421055,472.43947368421055,0.0,,2,2
novus,hard_cheese,2025-12-03,1552.0,1552.0,0.0,,1,1
novus,hard_cheese,2025-12-06,259.9,259.9,0.0,,3,3
novus,hard_cheese,2025-12-07,659.9333333333333,659.9333333333333,0.0,,1,1
novus,hard_cheese,2025-12-10,1050.0,1050.0,0.0,,3,3
novus,hard_cheese,2025-12-11,590.661111111111,590.661111111111,0.0,,2,2
novus,hard_cheese,2025-12-12,555.2777777777778,555.2777777777778,0.0,,1,1
novus,hard_cheese,2025-12-13,1021.7142857142858,1021.7142857142858,0.0,,2,2
novus,hard_cheese,2025-12-14,845.0,845.0,0.0,,3,3
novus,hard_cheese,2025-12-15,255.8235294117647,255.8235294117647,0.0,,1,1
novus,hard_cheese,2025-12-18,719.92,719.92,0.0,,1,1
novus,hard_cheese,2025-12-19,489.15079365079373,489.15079365079373,0.0,,4,4
novus,hard_cheese,2025-12-25,872.0,872.0,0.0,,1,1
novus,hard_cheese,2025-12-26,456.0,456.0,0.0,,11,11
novus,hard_cheese,2026-01-06,428.6238738738739,428.6238738738739,0.0,,4,4
novus,hard_cheese,2026-01-07,411.73214285714283,411.73214285714283,0.0,,4,4
novus,hard_cheese,2026-01-08,541.3888888888889,541.3888888888889,0.0,,85,85
novus,kefir,2025-11-04,78.725,78.725,0.0,,29,29
novus,kefir,2025-11-05,102.45,102.45,0.0,,1,1
novus,kefir,2025-11-16,94.42222222222223,94.42222222222223,0.0,,1,1
novus,kefir,2025-11-28,91.15686274509804,91.15686274509804,0.0,,1,1
novus,kefir,2025-12-10,57.45977011494253,57.45977011494253,0.0,,1,1
novus,kefir,2025-12-17,62.21111111111111,62.21111111111111,0.0,,1,1
novus,kefir,2025-12-18,79.29885057471263,79.29885057471263,0.0,,1,1
novus,kefir,2025-12-19,83.32142857142857,83.32142857142857,0.0,,1,1
novus,kefir,2026-01-06,81.3947261663286,81.3947261663286,0.0,,2,2
novus,kefir,2026-01-08,75.28235294117647,75.28235294117647,0.0,,13,13
novus,other_dairy,2025-11-04,442.73571428571427,442.73571428571427,0.0,,74,74
novus,other_dairy,2025-11-12,79.98666666666666,79.98666666666666,0.0,,1,1
novus,other_dairy,2025-11-17,92.71428571428571,92.71428571428571,0.0,,1,1
novus,other_dairy,2025-11-21,121.6333333333333,121.6333333333333,0.0,,1,1
novus,other_dairy,2025-11-22,333.2666666666667,333.2666666666667,0.0,,1,1
novus,other_dairy,2025-11-28,399.8571428571428,399.8571428571428,0.0,,2,2
novus,other_dairy,2025-12-01,697.5,697.5,0.0,,1,1
novus,other_dairy,2025-12-02,527.6666666666667,527.6666666666667,0.0,,1,1
novus,other_dairy,2025-12-04,692.2307692307692,692.2307692307692,0.0,,1,1
novus,other_dairy,2025-12-05,692.2307692307692,692.2307692307692,0.0,,1,1
novus,other_dairy,2025-12-11,726.6666666666667,726.6666666666667,0.0,,1,1
novus,other_dairy,2025-12-14,692.2307692307692,692.2307692307692,0.0,,1,1
novus,other_dairy,2025-12-15,86.64444444444445,86.64444444444445,0.0,,1,1
novus,other_dairy,2025-12-26,528.4999999999999,528.4999999999999,0.0,,1,1
novus,other_dairy,2026-01-06,364.1428571428571,364.1428571428571,0.0,,1,1
novus,other_dairy,2026-01-08,425.5714285714285,425.5714285714285,0.0,,13,13
novus,skim_milk_powder,2025-11-04,796.0,796.0,0.0,,1,1
novus,sour_cream,2025-11-04,234.1222222222222,234.1222222222222,0.0,,30,30
novus,sour_cream,2025-11-24,216.6333333333333,216.6333333333333,0.0,,1,1
novus,sour_cream,2025-11-28,134.2571428571429,134.2571428571429,0.0,,1,1
novus,sour_cream,2025-11-29,159.9666666666667,159.9666666666667,0.0,,1,1
novus,sour_cream,2025-12-06,167.5405405405405,167.5405405405405,0.0,,1,1
novus,sour_cream,2025-12-12,168.5428571428572,168.5428571428572,0.0,,1,1
novus,sour_cream,2025-12-16,216.6333333333333,216.6333333333333,0.0,,1,1
novus,sour_cream,2025-12-19,203.3,203.3,0.0,,3,3
novus,sour_cream,2025-12-26,303.3166666666667,303.3166666666667,0.0,,2,2
novus,sour_cream,2026-01-07,174.3,174.3,0.0,,1,1
novus,sour_cream,2026-01-08,199.9666666666667,199.9666666666667,0.0,,18,18
novus,yogurt,2025-11-04,143.96,143.96,0.0,,173,173
novus,yogurt,2025-11-07,166.625,166.625,0.0,,1,1
novus,yogurt,2025-11-08,168.9310344827586,168.9310344827586,0.0,,1,1
novus,yogurt,2025-11-10,286.6,286.6,0.0,,1,1
novus,yogurt,2025-11-11,133.7586206896552,133.7586206896552,0.0,,1,1
novus,yogurt,2025-11-14,399.9,399.9,0.0,,1,1
novus,yogurt,2025-11-16,119.9714285714286,119.9714285714286,0.0,,2,2
novus,yogurt,2025-11-20,116.1621621621622,116.1621621621622,0.0,,1,1
novus,yogurt,2025-11-23,264.9,264.9,0.0,,2,2
novus,yogurt,2025-11-28,127.3335403726708,127.3335403726708,0.0,,2,2
novus,yogurt,2025-12-01,169.4782608695652,169.4782608695652,0.0,,1,1
novus,yogurt,2025-12-03,159.9642857142857,159.9642857142857,0.0,,3,3
novus,yogurt,2025-12-07,133.7586206896552,133.7586206896552,0.0,,1,1
novus,yogurt,2025-12-08,208.2916666666667,208.2916666666667,0.0,,1,1
novus,yogurt,2025-12-10,115.52794612794615,115.52794612794615,0.0,,2,2
novus,yogurt,2025-12-12,169.4782608695652,169.4782608695652,0.0,,1,1
novus,yogurt,2025-12-13,166.625,166.625,0.0,,1,1
novus,yogurt,2025-12-15,124.9666666666667,124.9666666666667,0.0,,1,1
novus,yogurt,2025-12-17,269.9,269.9,0.0,,1,1
novus,yogurt,2025-12-19,125.8,125.8,0.0,,4,4
novus,yogurt,2025-12-24,244.0588235294118,244.0588235294118,0.0,,1,1
novus,yogurt,2025-12-26,143.96,143.96,0.0,,5,5
novus,yogurt,2026-01-06,116.6333333333333,116.6333333333333,0.0,,3,3
novus,yogurt,2026-01-07,163.0,163.0,0.0,,2,2
novus,yogurt,2026-01-08,149.9,149.9,0.0,,39,39
silpo,drinking_milk,2025-10-22,1.026210526315789,1.026210526315789,0.0,,1,1
silpo,drinking_milk,2025-11-02,1.042105263157895,1.3894736842105266,1.0,21.0,1,1
silpo,drinking_milk,2025-11-15,1.042105263157895,1.042105263157895,0.0,,1,1
silpo,drinking_milk,2025-11-17,1.026210526315789,1.026210526315789,0.0,,1,1
silpo,drinking_milk,2025-11-18,1.026210526315789,1.026210526315789,0.0,,1,1
silpo,drinking_milk,2025-11-23,1.042105263157895,1.042105263157895,0.0,,1,1
silpo,drinking_milk,2025-11-28,1.042105263157895,1.042105263157895,0.0,,1,1
