0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
,,,,,,,,,,
World IM,-71.853,-53.738,-75.145,-90.075,-151.303,-270.053,-324.735,-235.375,-268.243,-299.271
World EX,348.291,298.682,437.622,407.066,405.39,373.703,319.782,433.73,373.064,452.185
,,,,,,,,,,
,,,,,,,,,,
Flow IM/EX from UA,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Poland IM,-8.976,-9.681,-22.849,-26.215,-50.147,-116.192,-111.724,-102.948,-99.167,-103.694
Germany IM,-13.023,-11.985,-15.073,-18.91,-31.93,-46.336,-63.503,-43.107,-53.157,-56.73
Netherlands IM,-1.729,-3.016,-5.391,-7.045,-17.514,-20.941,-32.386,-22.963,-37.247,-40.137
Czech Republic IM,-5.693,-2.549,-2.417,-1.284,-1.178,-1.766,-5.871,-5.86,-12.576,-15.967
"Moldova, Republic of EX",17.546,16.534,23.025,25.047,30.433,28.699,32.259,45.711,48.712,60.012
Poland EX,11.828,16.446,20.664,19.311,22.978,33.785,37.294,85.324,45.0,48.525
Germany  EX,24.937,29.526,30.303,21.435,21.091,23.782,22.17,36.951,32.741,44.887
Italy EX,0.082,1.671,3.191,5.794,2.477,4.566,3.976,17.088,23.269,27.876
