week,producer_index_weekly,procurement_index_weekly,downstream_extension_weekly
2025-04-14,106.242530498323,109.91871569844237,54.5472609566543
2025-04-21,106.69110973634396,102.25239639717478,54.37916622952936
2025-04-28,105.6268872711004,90.70418863792888,53.3275365330845
2025-05-05,104.80062550616319,102.4292826766825,52.86289586828288
2025-05-12,102.8454169846226,115.3073016404126,51.683199269140395
2025-05-19,102.66838490584648,91.13732138097073,51.61824480862138
2025-05-26,103.10373498999881,103.3344179101609,51.96892150815278
2025-06-02,102.96596746418946,110.58927723025663,51.971316289251725
2025-06-09,103.06068885158645,86.01225538183341,52.123621368886674
2025-06-16,103.36720029015646,113.31608165381225,52.38276582458613
2025-06-23,102.82296664194519,113.98696193394936,52.04802098290479
2025-06-30,102.838885120078,89.95295702891082,52.13380369245303
2025-07-07,104.08330648143297,90.10450844793797,53.15242820329153
2025-07-14,105.13104420308147,113.26601793160062,54.0386504210965
2025-07-21,105.67984839771138,89.03763574241653,54.60357246708843
2025-07-28,105.65205461950046,106.73449890694883,54.67367267908701
2025-08-04,107.74695951110846,86.00177349634373,54.72737111875063
2025-08-11,109.99850186904986,98.90973717503888,54.7190981763298
2025-08-18,112.10813310324895,111.48561499480174,54.6732097570652
2025-08-25,114.15663945181521,118.8004133624404,54.56395057160461
2025-09-01,117.12088899409214,117.3221600943243,54.94853957473421
2025-09-08,119.79286234936754,119.5665147277335,55.10857269332855
2025-09-15,121.70312758116492,101.15608293684616,54.773836526239116
2025-09-22,123.31786388786371,110.26658407768522,54.28157224585172
2025-09-29,123.44335934946596,121.0466876900782,54.25392355790811
2025-10-06,121.35015131334666,127.07225023482106,56.22450341296879
2025-10-13,119.71419204773406,112.53151835554455,58.53926278802993
2025-10-20,118.66786220061513,121.51098213419321,60.827716291831834
2025-10-27,116.1777299933922,121.31159407890293,61.533930497116096
2025-11-03,113.97874697548086,120.73048900455544,60.63756093255509
2025-11-10,113.2492061129702,107.96223089208293,61.095897159611546
2025-11-17,112.43442421489404,108.73883483155598,61.76587531125691
2025-11-24,110.6203516826449,119.13235856215844,61.66865027990846
2025-12-01,108.16553106419052,125.45369875727691,62.24195767948818
2025-12-08,106.13940789393561,109.38215371069757,62.984217159156486
2025-12-15,104.93700299339162,109.39718408751669,127.44609483073909
2025-12-22,104.0109308045168,103.47650080443641,106.14206993905987
2025-12-29,103.34924331060704,108.69196870721338,57.75652457590925
2026-01-05,106.21179817349088,115.40162064259258,90.52314194868555
