horizon,target,impulse,response
0,producer_index_weekly,producer_index_weekly,1.0
0,producer_index_weekly,procurement_index_weekly,0.0
0,producer_index_weekly,downstream_extension_weekly,0.0
0,procurement_index_weekly,producer_index_weekly,0.0
0,procurement_index_weekly,procurement_index_weekly,1.0
0,procurement_index_weekly,downstream_extension_weekly,0.0
0,downstream_extension_weekly,producer_index_weekly,0.0
0,downstream_extension_weekly,procurement_index_weekly,0.0
0,downstream_extension_weekly,downstream_extension_weekly,1.0
1,producer_index_weekly,producer_index_weekly,1.9953852223933284
1,producer_index_weekly,procurement_index_weekly,0.009113694658683905
1,producer_index_weekly,downstream_extension_weekly,0.0015417099515235427
1,procurement_index_weekly,producer_index_weekly,0.7884034595992525
1,procurement_index_weekly,procurement_index_weekly,-0.11572367984562051
1,procurement_index_weekly,downstream_extension_weekly,-0.046857081347913665
1,downstream_extension_weekly,producer_index_weekly,-0.5150210622202096
1,downstream_extension_weekly,procurement_index_weekly,0.09805305304741624
1,downstream_extension_weekly,downstream_extension_weekly,0.6983129382526119
2,producer_index_weekly,producer_index_weekly,2.8352587080350014
2,producer_index_weekly,procurement_index_weekly,0.030050800716986417
2,producer_index_weekly,downstream_extension_weekly,0.01005965148510079
2,procurement_index_weekly,producer_index_weekly,-0.3762899071953525
2,procurement_index_weekly,procurement_index_weekly,-0.2314056978963919
2,procurement_index_weekly,downstream_extension_weekly,0.04497516968968884
2,downstream_extension_weekly,producer_index_weekly,-2.019399376100137
2,downstream_extension_weekly,procurement_index_weekly,0.35248840107496215
2,downstream_extension_weekly,downstream_extension_weekly,-0.16660473566324818
3,producer_index_weekly,producer_index_weekly,3.4704589321520376
3,producer_index_weekly,procurement_index_weekly,0.033858821369849815
3,producer_index_weekly,downstream_extension_weekly,0.06366510821659425
3,procurement_index_weekly,producer_index_weekly,1.6540486925689641
3,procurement_index_weekly,procurement_index_weekly,0.1325794876246426
3,procurement_index_weekly,downstream_extension_weekly,0.09859585239780469
3,downstream_extension_weekly,producer_index_weekly,-3.3989113563278415
3,downstream_extension_weekly,procurement_index_weekly,0.26250809669022857
3,downstream_extension_weekly,downstream_extension_weekly,0.4774040055262594
4,producer_index_weekly,producer_index_weekly,3.909363309565509
4,producer_index_weekly,procurement_index_weekly,-0.004032537037772649
4,producer_index_weekly,downstream_extension_weekly,0.10797879320666948
4,procurement_index_weekly,producer_index_weekly,2.538084962730885
4,procurement_index_weekly,procurement_index_weekly,0.017493111899522573
4,procurement_index_weekly,downstream_extension_weekly,0.34518222410697585
4,downstream_extension_weekly,producer_index_weekly,-3.972308793760071
4,downstream_extension_weekly,procurement_index_weekly,-0.11012413724990042
4,downstream_extension_weekly,downstream_extension_weekly,0.8948171973779188
5,producer_index_weekly,producer_index_weekly,4.176500708173079
5,producer_index_weekly,procurement_index_weekly,-0.020701624422898995
5,producer_index_weekly,downstream_extension_weekly,0.11996055220641368
5,procurement_index_weekly,producer_index_weekly,2.0741474259111756
5,procurement_index_weekly,procurement_index_weekly,0.037674763816653495
5,procurement_index_weekly,downstream_extension_weekly,0.16727547694979353
5,downstream_extension_weekly,producer_index_weekly,-4.300971212359076
5,downstream_extension_weekly,procurement_index_weekly,0.10653445081498465
5,downstream_extension_weekly,downstream_extension_weekly,-0.07013544306469072
6,producer_index_weekly,producer_index_weekly,4.360019513023796
6,producer_index_weekly,procurement_index_weekly,-0.024891031303849342
6,producer_index_weekly,downstream_extension_weekly,0.15709449683576626
6,procurement_index_weekly,producer_index_weekly,1.845334523220398
6,procurement_index_weekly,procurement_index_weekly,0.18835020884899245
6,procurement_index_weekly,downstream_extension_weekly,0.010602800845244245
6,downstream_extension_weekly,producer_index_weekly,-4.370756209644368
6,downstream_extension_weekly,procurement_index_weekly,0.41721990458377595
6,downstream_extension_weekly,downstream_extension_weekly,-0.05527677975946163
7,producer_index_weekly,producer_index_weekly,4.427351429011933
7,producer_index_weekly,procurement_index_weekly,-0.04121622999807503
7,producer_index_weekly,downstream_extension_weekly,0.20315289933234917
7,procurement_index_weekly,producer_index_weekly,1.6972392707039645
7,procurement_index_weekly,procurement_index_weekly,0.003002427999593868
7,procurement_index_weekly,downstream_extension_weekly,0.3378367041514104
7,downstream_extension_weekly,producer_index_weekly,-4.364464812163882
7,downstream_extension_weekly,procurement_index_weekly,0.10534269057009853
7,downstream_extension_weekly,downstream_extension_weekly,0.8393974724444587
8,producer_index_weekly,producer_index_weekly,4.380170164913416
8,producer_index_weekly,procurement_index_weekly,-0.04356447935708899
8,producer_index_weekly,downstream_extension_weekly,0.19447695789654587
8,procurement_index_weekly,producer_index_weekly,1.4808716310723544
8,procurement_index_weekly,procurement_index_weekly,-0.10283316854581995
8,procurement_index_weekly,downstream_extension_weekly,0.33867667365624476
8,downstream_extension_weekly,producer_index_weekly,-4.546795932764522
8,downstream_extension_weekly,procurement_index_weekly,0.036381565518320835
8,downstream_extension_weekly,downstream_extension_weekly,0.23948606492145452
