week,producer_linear_weekly,prozorro_weekly,retail_category_baseline_weekly
2025-10-20,248.7772302865846,239.5,61.24
2025-10-27,237.2634215168736,221.55,62.9
2025-11-03,229.479131343165,257.75,61.99
2025-11-10,226.4380143050482,216.12,60.86841772151899
2025-11-17,223.8747133545354,216.435,61.99
2025-11-24,218.8835323842551,235.2,62.144999999999996
2025-12-01,212.6909632363904,260.4,64.49
2025-12-08,208.0909030112431,207.0,64.99
2025-12-15,206.1481364914207,216.0,259.2475
2025-12-22,204.4413509808933,192.0,220.245
2026-01-05,217.4610859174078,228.5,98.99
