standardized_type,y_series_source,x_series_sources,frequency,sample_period,lags_selected,short_run_coef,long_run_coef,asymmetry_short_p,asymmetry_long_p,diagnostics_flags,interpretation_note
butter,ProducerUA,EU,weekly,2021-12-28..2025-12-23,"dy(1), x_pos, x_neg",-0.00257929957347239,0.431674313712216,0.7032988697348881,3.6240032394014096e-35,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
butter,ProZorro,EU,weekly,2025-04-08..2026-01-06,"dy(1), x_pos, x_neg",0.29805209441835057,0.32486566158434904,0.46101982635737293,0.5053658392991783,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
cream,ProducerUA,EU,weekly,2021-12-28..2025-12-23,"dy(1), x_pos, x_neg",-0.0033047862840858734,-0.00045517749051976475,0.6688359246375976,0.9806218562475245,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
cream,ProZorro,EU,weekly,2025-04-15..2026-01-06,"dy(1), x_pos, x_neg",-0.947164083818236,0.1786141240120238,0.14728982209359795,0.7515583051997151,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
hard_cheese,ProducerUA,EU,weekly,2021-12-28..2025-12-23,"dy(1), x_pos, x_neg",-0.03242904522300962,0.339326206737692,0.7969953657108445,4.3359929627004795e-12,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
hard_cheese,ConsumerUA,EU,weekly,2021-12-28..2026-01-13,"dy(1), x_pos, x_neg",-0.04203621536336792,0.47335253688866064,0.5978648634303664,1.7391715852769895e-20,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
hard_cheese,ProZorro,EU,weekly,2025-04-08..2026-01-06,"dy(1), x_pos, x_neg",0.7230817021185868,0.36121175821785556,0.34471774322813287,0.14941524191196143,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
milk,ProducerUA,EU,weekly,2021-12-28..2025-12-23,"dy(1), x_pos, x_neg",-0.023575134604846663,0.4248204235844112,0.8261199738418743,3.651106085098579e-33,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
milk,ConsumerUA,EU,weekly,2021-12-28..2026-01-13,"dy(1), x_pos, x_neg",-0.04993934884027437,0.4355387708736216,0.8169994381630011,1.8334194715786972e-37,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
milk,ProZorro,EU,weekly,2025-04-08..2026-01-06,"dy(1), x_pos, x_neg",-0.5494196632537425,-0.8902831834836844,0.285030587647836,0.11755278692142505,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
other,ProZorro,EU,weekly,2025-04-08..2026-01-06,"dy(1), x_pos, x_neg",-0.43281508076889985,1.5165924028467517,0.0008442188009509941,0.0011941853543684584,HAC SE applied,Low p-values indicate asymmetric transmission to positive vs negative shocks.
